hour,n_samples,cpc_auc,cpc_acc,km_auc,km_acc
6,52,0.6398809523809523,0.7290909090909091,0.652116402116402,0.4636363636363637
7,59,0.5189814814814816,0.7106060606060606,0.6396857964566298,0.5757575757575758
8,68,0.47598484848484846,0.6912087912087912,0.6871332371332372,0.42637362637362636
9,73,0.693939393939394,0.7542857142857143,0.7263638543995687,0.5495238095238095
10,80,0.71875,0.7125,0.6542886511636511,0.4875
11,92,0.7092857142857142,0.8058479532163743,0.708437486623761,0.5304093567251462
12,101,0.7565833333333334,0.8119047619047619,0.6702811616774466,0.4747619047619048
13,111,0.720392156862745,0.766403162055336,0.7463065928609132,0.5754940711462451
14,120,0.7108479532163743,0.7500000000000001,0.6945018294061879,0.5333333333333333
15,127,0.7816315789473685,0.7713846153846153,0.6962190487531046,0.5338461538461539
16,132,0.7240873015873015,0.7803418803418802,0.6929526757519432,0.49230769230769234
17,138,0.7123015873015872,0.7386243386243387,0.6633984056869109,0.485978835978836
18,150,0.6780538302277432,0.8,0.6829678012619189,0.48
19,156,0.6659761904761905,0.8141129032258065,0.6730070883794239,0.4804435483870968
20,157,0.7202857142857143,0.8086693548387098,0.7020875610133921,0.5415322580645161
21,166,0.7633021299687966,0.8557932263814617,0.7161515489765966,0.5655971479500892
22,171,0.7163737717309145,0.8068907563025209,0.759786263545513,0.5492436974789916
23,177,0.7509676284306827,0.818888888888889,0.7037297587515432,0.496984126984127
24,180,0.7419184455391352,0.8277777777777778,0.7005645433857508,0.5222222222222223
25,183,0.7279416282642088,0.81996996996997,0.7317659411983266,0.5463963963963965
26,183,0.7506016385048644,0.7981981981981983,0.7395692716290507,0.5743243243243243
27,183,0.7088402457757297,0.8085585585585585,0.7255183149043974,0.5950450450450451
28,186,0.7803072196620584,0.8173541963015648,0.7118316670094644,0.5324324324324324
29,185,0.7388632872503841,0.8054054054054054,0.6609408449748526,0.5621621621621621
30,187,0.7785714285714286,0.8347083926031293,0.6504878827811287,0.49729729729729727
31,190,0.8085133448540706,0.8473684210526315,0.6692946777400411,0.531578947368421
32,190,0.7401593701996928,0.8526315789473683,0.666665300306623,0.5631578947368421
33,191,0.7659010176651305,0.822132253711201,0.6383631507798517,0.5448043184885291
34,192,0.7182291666666667,0.8020242914979757,0.6349939487375809,0.5574898785425101
35,192,0.7825892857142858,0.8178137651821862,0.6447586205463715,0.5468286099865047
36,192,0.815327380952381,0.8437246963562753,0.6314443485111128,0.5159244264507422
37,190,0.7831293202764977,0.8421052631578947,0.5978817223049363,0.536842105263158
38,189,0.7954325076804916,0.8466571834992888,0.593801164015835,0.5132290184921764
39,187,0.818095238095238,0.8399715504978662,0.5983077792824735,0.4860597439544808
